gpca,     p5,     Faulty_GPCA_Prop5-LOR-1--1-ROR-1--1,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     24.872,     24.656,     4.522,     20.134,     5,     5,     0.904,     4.026,     p1 = (((Door_Open => (not System_On)) xor (Door_Open => (not System_On))) => (out_Highest_Level_Alarm < 3));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-1-1-ROR-1-1,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     18.273,     18.137,     3.545,     14.592,     5,     5,     0.709,     2.918,     p1 = ((((not System_On) => (not System_On)) and ((not Door_Open) and Door_Open)) => (out_Highest_Level_Alarm > 3));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-1-3-ROR-1--1,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     16.371,     16.24,     3.219,     13.021,     5,     5,     0.643,     2.604,     p1 = ((((not System_On) => Door_Open) or ((not System_On) => (not System_On))) or (out_Highest_Level_Alarm < 3));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-1-1-ROR-1-2,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     44.389,     44.21,     4.415,     39.795,     5,     5,     0.883,     7.959,     p1 = (((Door_Open and (not Door_Open)) and ((not System_On) or (not System_On))) => (out_Highest_Level_Alarm = 3));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-1-3-ROR-1-0,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     15.305,     15.213,     3.014,     12.199,     5,     5,     0.602,     2.439,     p1 = ((((not System_On) => Door_Open) or ((not System_On) => (not System_On))) or (out_Highest_Level_Alarm <= 3));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-1--1-ROR-1-1,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     11.685,     11.592,     3.215,     8.377,     5,     5,     0.643,     1.675,     p1 = ((((not Door_Open) => (not Door_Open)) xor ((not Door_Open) => (not Door_Open))) => (out_Highest_Level_Alarm > 3));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-1--1-ROR-1-3,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     102.05,     101.935,     3.412,     98.523,     4,     4,     0.853,     24.63,     p1 = ((((not System_On) => (not Door_Open)) xor ((not Door_Open) or System_On)) => (out_Highest_Level_Alarm <> 3));,     
gpca,     p6,     Faulty_GPCA_Prop6-ROR-1-7-ROR-7-10,     false,    0,    MINIMAL_FORALL_UNKNOWN,     1,     856.605,     854.305,     14.466,     839.839,     13,     14,     1.112,     59.988,     p1 = (false => ((out_Audio_Notification_Command <= Audio_Level) and (out_Is_Audio_Disabled <= 3)));,     
gpca,     p6,     Faulty_GPCA_Prop6-LOR-3--1-ROR-4-14,     false,    0,    MINIMAL_FORALL_UNKNOWN,     1,     612.466,     612.346,     2.616,     609.73,     3,     4,     0.872,     152.432,     p1 = (((System_On or false) and false) => ((out_Audio_Notification_Command = Audio_Level) and (out_Is_Audio_Disabled < 0)));,     
gpca,     p6,     Faulty_GPCA_Prop6-LOR-3-0-ROR-4-14,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     23.787,     23.596,     6.071,     17.525,     7,     7,     0.867,     2.503,     p1 = (((System_On => (out_Highest_Level_Alarm < 0)) and false) => ((out_Audio_Notification_Command = Audio_Level) and (out_Is_Audio_Disabled < 0)));,     
gpca,     p6,     Faulty_GPCA_Prop6-LOR-5-2-ROR-5-18,     false,    2,    MINIMAL_MAX_LOOP_REACHED,     1,     831.739,     824.954,     106.35,     718.604,     35,     36,     3.038,     19.961,     p1 = (((System_On and (out_Highest_Level_Alarm >= 3)) or (Disable_Audio = 0)) => (((Audio_Level <= 1) xor false) => ((Audio_Level <= out_Audio_Notification_Command) => (Audio_Level <= 1))));,     
