infusion,     p14,     Faulty_Prop14-ROR-2-0-ROR-2-4,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     20.611,     20.368,     8.878,     11.49,     8,     8,     1.109,     1.436,     p1 = ((System_On and (((Current_System_Mode < 2) xor (Current_System_Mode > 5)) xor ((Current_System_Mode = 5) xor false))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-2-5-ROR-2-9,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     17.674,     17.534,     7.139,     10.395,     8,     8,     0.892,     1.299,     p1 = ((System_On and (((Current_System_Mode < 2) xor (Current_System_Mode > 5)) xor ((Current_System_Mode = 5) xor false))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-4-2-ROR-5-5,     true,    0,    TRUE_FOR_MAX_STEPS,     5,     17.126,     17.023,     5.537,     11.486,     10,     10,     0.553,     1.148,     p1 = ((System_On and (((Current_System_Mode >= 5) or (Current_System_Mode <= 1)) or (Current_System_Mode = 8))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-2-0-ROR-2-12,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     24.42,     24.251,     11.95,     12.301,     10,     10,     1.195,     1.23,     p1 = ((System_On and ((not (Current_System_Mode >= 5)) xor ((Current_System_Mode >= 6) or (Current_System_Mode > 1)))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-5-5-ROR-6-9,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     15.522,     15.418,     5.432,     9.986,     8,     8,     0.679,     1.248,     p1 = ((System_On and (((Current_System_Mode = 6) or (Current_System_Mode >= 5)) or (Current_System_Mode < 2))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-LOR-1-4-ROR-1-9,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     54.247,     53.582,     28.965,     24.617,     21,     21,     1.379,     1.172,     p1 = (((System_On => (Current_System_Mode < 2)) or (false xor (Current_System_Mode >= 5))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-6-12-ROR-7-15,     true,    0,    TRUE_FOR_MAX_STEPS,     4,     31.948,     31.667,     12.37,     19.297,     15,     15,     0.824,     1.286,     p1 = ((System_On and (((Current_System_Mode = 6) or (Current_System_Mode = 7)) or (Current_System_Mode >= 5))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-LOR-3-4-ROR-3-0,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     14.72,     14.613,     4.432,     10.181,     8,     8,     0.554,     1.272,     p1 = ((System_On and (((Current_System_Mode < 2) xor (Current_System_Mode > 4)) or (Current_System_Mode = 8))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-3-5-ROR-6-10,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     14.43,     14.312,     4.326,     9.986,     7,     7,     0.618,     1.426,     p1 = ((System_On and (((Current_System_Mode < 2) or (Current_System_Mode < 2)) or (Current_System_Mode > 4))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-4-3-ROR-5-4,     true,    0,    TRUE_FOR_MAX_STEPS,     6,     18.379,     18.233,     5.736,     12.497,     11,     11,     0.521,     1.136,     p1 = ((System_On and (((Current_System_Mode >= 5) or (Current_System_Mode <= 1)) or (Current_System_Mode = 8))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
