infusion,     p4,     Faulty_Prop4-LOR-1-0-ROR-3-4,     true,    0,    TRUE_FOR_MAX_STEPS,     4,     38.355,     37.878,     14.033,     23.845,     19,     19,     0.738,     1.255,     p1 = (((Highest_Level_Alarm > 2) or (not System_On)) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p4,     Faulty_Prop4-LOR-1-0-ROR-3--1,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     56.941,     56.045,     22.354,     33.691,     24,     24,     0.931,     1.403,     p1 = (((Highest_Level_Alarm >= 3) or (not System_On)) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p4,     Faulty_Prop4-ROR-2--1-ROR-3-7,     true,    0,    TRUE_FOR_MAX_STEPS,     4,     47.691,     47.252,     17.195,     30.057,     22,     22,     0.781,     1.366,     p1 = ((System_On and (Highest_Level_Alarm >= 3)) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p4,     Faulty_Prop4-LOR-1-0-ROR-1--1,     true,    1,    TRUE_FOR_MAX_STEPS,     4,     19.009,     18.835,     6.444,     12.391,     10,     10,     0.644,     1.239,     p1 = ((System_On => (Highest_Level_Alarm > 2)) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p4,     Faulty_Prop4-ROR-1--1-ROR-3-3,     true,    0,    TRUE_FOR_MAX_STEPS,     4,     33.495,     33.023,     12.626,     20.397,     18,     18,     0.701,     1.133,     p1 = (((not System_On) or (Highest_Level_Alarm >= 3)) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p4,     Faulty_Prop4-ROR-2-1-ROR-3-7,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     39.431,     39.019,     13.85,     25.169,     21,     21,     0.659,     1.198,     p1 = ((System_On and (Highest_Level_Alarm >= 3)) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p4,     Faulty_Prop4-LOR-1--1-ROR-1--1,     true,    1,    TRUE_FOR_MAX_STEPS,     5,     20.711,     20.548,     6.947,     13.601,     12,     12,     0.578,     1.133,     p1 = (((Highest_Level_Alarm < 3) => (not System_On)) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p4,     Faulty_Prop4-ROR-2-3-ROR-3-5,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     35.368,     35.051,     12.005,     23.046,     19,     19,     0.631,     1.212,     p1 = ((System_On and (Highest_Level_Alarm >= 3)) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p4,     Faulty_Prop4-LOR-1--1-ROR-3-2,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     31.336,     30.985,     11.097,     19.888,     16,     16,     0.693,     1.243,     p1 = ((System_On => (Highest_Level_Alarm > 2)) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
