gpca,     p9,     Faulty_GPCA_Prop9-LOR-0-3-ROR-0-6,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     54.15,     53.623,     12.506,     41.117,     14,     14,     0.893,     2.936,     p1 = (((out_Highest_Level_Alarm < 0) xor (out_Highest_Level_Alarm < 5)) and ((out_Highest_Level_Alarm < 1) => (not System_On)));,     
gpca,     p9,     Faulty_GPCA_Prop9-ROR-0-2-ROR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     66.065,     65.553,     13.305,     52.248,     14,     14,     0.95,     3.732,     p1 = (((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm < 1)) => ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p9,     Faulty_GPCA_Prop9-LOR-1-3-ROR-1-4,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     17.508,     17.339,     4.334,     13.005,     7,     7,     0.619,     1.857,     p1 = (System_On => ((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm >= 1)));,     
gpca,     p9,     Faulty_GPCA_Prop9-ROR-1--1-ROR-1-8,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     17.365,     17.243,     4.431,     12.812,     7,     7,     0.633,     1.83,     p1 = (System_On => ((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm >= 1)));,     
gpca,     p9,     Faulty_GPCA_Prop9-ROR-0-0-ROR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     60.607,     60.118,     12.8,     47.318,     14,     14,     0.914,     3.379,     p1 = (((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm < 1)) => ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p9,     Faulty_GPCA_Prop9-ROR-0-0-ROR-0-7,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     59.391,     58.896,     11.793,     47.103,     14,     14,     0.842,     3.364,     p1 = (((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm < 1)) => ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p9,     Faulty_GPCA_Prop9-LOR-0-1-ROR-0-6,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     38.613,     38.092,     10.681,     27.411,     15,     15,     0.712,     1.827,     p1 = ((System_On => (out_Highest_Level_Alarm >= 1)) and ((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm >= 0)));,     
gpca,     p9,     Faulty_GPCA_Prop9-ROR-1-1-ROR-1-8,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     14.813,     14.71,     3.721,     10.989,     7,     7,     0.531,     1.569,     p1 = (System_On => ((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm >= 1)));,     
gpca,     p9,     Faulty_GPCA_Prop9-LOR-0--1-ROR-0-2,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     80.766,     80.166,     13.21,     66.956,     17,     17,     0.777,     3.938,     p1 = (((out_Highest_Level_Alarm >= 0) xor (out_Highest_Level_Alarm >= 5)) and ((not System_On) or (out_Highest_Level_Alarm >= 1)));,     
gpca,     p9,     Faulty_GPCA_Prop9-ROR-1-2-ROR-1-4,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     15.219,     15.105,     3.625,     11.48,     7,     7,     0.517,     1.64,     p1 = (System_On => ((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm >= 1)));,     
gpca,     p9,     Faulty_GPCA_Prop9-ROR-0-2-ROR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     57.84,     57.35,     11.978,     45.372,     14,     14,     0.855,     3.24,     p1 = (((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm < 1)) => ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p9,     Faulty_GPCA_Prop9-LOR-0-1-ROR-0-7,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     58.087,     57.561,     11.676,     45.885,     14,     14,     0.834,     3.277,     p1 = (((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm < 1)) => ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
