infusion,     p1,     Faulty_Prop1-LOR-3-1-ROR-14-34,     true,    0,    MINIMAL_EXISTS_UKNOWN,     3,     623.939,     623.397,     609.059,     14.338,     9,     9,     67.673,     1.593,     p1 = ((((((Current_System_Mode < 5) or ((Current_System_Mode = 8) xor false)) xor false) or (Current_System_Mode = 6)) or (Current_System_Mode = 7)) or false);,     
infusion,     p1,     Faulty_Prop1-LOR-0-16-ROR-0-27,     true,    3,    MINIMAL_EXISTS_UKNOWN,     3,     631.83,     630.922,     611.208,     19.714,     12,     12,     50.934,     1.642,     p1 = ((not (not (Current_System_Mode <= 5))) xor ((not (Current_System_Mode <= 4)) xor ((Current_System_Mode <= 8) xor (Current_System_Mode >= 0))));,     
infusion,     p1,     Faulty_Prop1-LOR-3-3-ROR-13-1,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     150.935,     150.369,     135.674,     14.695,     9,     9,     15.074,     1.632,     p1 = ((((((Current_System_Mode > 5) => (Current_System_Mode >= 8)) => (((Current_System_Mode >= 5) xor false) => ((Current_System_Mode = 1) xor false))) or (Current_System_Mode = 6)) or (Current_System_Mode = 0)) or (Current_System_Mode = 8));,     
infusion,     p1,     Faulty_Prop1-LOR-1-4-ROR-1-4,     true,    3,    MINIMAL_EXISTS_UKNOWN,     3,     627.806,     627.065,     610.172,     16.893,     11,     11,     55.47,     1.535,     p1 = ((((not (Current_System_Mode <= 7)) xor (false xor (Current_System_Mode = 5))) => (false xor (not (Current_System_Mode >= 0)))) or (Current_System_Mode = 8));,     
infusion,     p1,     Faulty_Prop1-LOR-5-2-ROR-12-5,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     25.175,     24.957,     9.791,     15.166,     6,     6,     1.631,     2.527,     p1 = ((((((((Current_System_Mode < 2) or (Current_System_Mode < 5)) xor false) or (Current_System_Mode = 3)) or (Current_System_Mode = 4)) or (Current_System_Mode = 6)) or (Current_System_Mode = 7)) or (Current_System_Mode = 8));,     
infusion,     p1,     Faulty_Prop1-LOR-4-5-ROR-11-12,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     27.006,     26.764,     14.404,     12.36,     7,     7,     2.057,     1.765,     p1 = (((((((Current_System_Mode = 3) xor false) xor ((Current_System_Mode < 2) xor false)) or (Current_System_Mode < 5)) or (Current_System_Mode = 6)) or (Current_System_Mode = 7)) or (Current_System_Mode = 8));,     
infusion,     p1,     Faulty_Prop1-ROR-3-4-ROR-12-16,     true,    0,    MINIMAL_EXISTS_UKNOWN,     3,     626.715,     626.035,     609.135,     16.9,     10,     10,     60.913,     1.69,     p1 = (((((((Current_System_Mode >= 6) and (Current_System_Mode >= 0)) and ((Current_System_Mode <= 8) and (Current_System_Mode > 3))) xor (false xor ((Current_System_Mode = 2) xor (Current_System_Mode = 2)))) or (Current_System_Mode < 5)) or (Current_System_Mode = 7)) or (Current_System_Mode = 8));,     
infusion,     p1,     Faulty_Prop1-LOR-6--1-LOR-14-0,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     14.683,     14.563,     5.27,     9.293,     7,     7,     0.752,     1.327,     p1 = ((((((((Current_System_Mode = 8) xor false) or (Current_System_Mode = 2)) or (Current_System_Mode = 3)) or (Current_System_Mode = 4)) or (Current_System_Mode = 6)) or (Current_System_Mode = 7)) or (Current_System_Mode <= 4));,     
infusion,     p1,     Faulty_Prop1-LOR-0-10-ROR-0-31,     true,    3,    MINIMAL_EXISTS_UKNOWN,     3,     632.102,     631.3,     611.829,     19.471,     12,     12,     50.985,     1.622,     p1 = ((not (not (Current_System_Mode <= 5))) xor ((not (Current_System_Mode <= 4)) xor ((Current_System_Mode <= 8) xor (Current_System_Mode >= 0))));,     
infusion,     p1,     Faulty_Prop1-ROR-3-0-ROR-14-21,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     538.414,     538.013,     524.748,     13.265,     8,     8,     65.593,     1.658,     p1 = (((((Current_System_Mode >= 7) and ((false xor (Current_System_Mode >= 3)) and ((Current_System_Mode = 8) xor false))) or (Current_System_Mode = 6)) or (Current_System_Mode = 7)) or (Current_System_Mode < 5));,     
infusion,     p1,     Faulty_Prop1-LOR-1-10-ROR-1-33,     true,    3,    MINIMAL_EXISTS_UKNOWN,     3,     629.302,     628.642,     610.813,     17.829,     11,     11,     55.528,     1.62,     p1 = ((false xor (((Current_System_Mode < 6) xor false) xor ((Current_System_Mode < 8) and (Current_System_Mode >= 5)))) or (Current_System_Mode = 8));,     
