infusion,     p11,     Faulty_Prop11-ROR-0-1-ROR-0-5,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     778.916,     773.711,     705.674,     68.037,     42,     42,     16.801,     1.619,     p1 = ((System_On xor (Current_System_Mode <= 0)) and ((Commanded_Flow_Rate <= Current_System_Mode) or (Current_System_Mode >= 2)));,     
infusion,     p11,     Faulty_Prop11-ROR-2-0-ROR-3-4,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     17.895,     17.77,     5.336,     12.434,     9,     9,     0.592,     1.381,     p1 = ((System_On and (Current_System_Mode > 8)) => false);,     
infusion,     p11,     Faulty_Prop11-ROR-2--1-ROR-3-5,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     10.965,     10.893,     3.417,     7.476,     6,     6,     0.569,     1.246,     p1 = ((System_On and (Current_System_Mode = 0)) => false);,     
infusion,     p11,     Faulty_Prop11-LOR-0-3-ROR-0-8,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     840.921,     838.521,     791.715,     46.806,     34,     34,     23.285,     1.376,     p1 = (((Commanded_Flow_Rate = 0) or (Current_System_Mode >= 2)) and ((Current_System_Mode = 0) xor System_On));,     
infusion,     p11,     Faulty_Prop11-ROR-2--1-ROR-3-3,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     17.489,     17.333,     5.731,     11.602,     9,     9,     0.636,     1.289,     p1 = ((System_On and (Current_System_Mode > 8)) => false);,     
infusion,     p11,     Faulty_Prop11-LOR-0-3-ROR-0-6,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     861.43,     859.198,     815.341,     43.857,     34,     34,     23.98,     1.289,     p1 = (((Commanded_Flow_Rate = 0) or (Current_System_Mode >= 2)) and ((Current_System_Mode = 0) xor System_On));,     
infusion,     p11,     Faulty_Prop11-ROR-2-3-ROR-3-7,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     19.095,     18.942,     6.336,     12.606,     9,     9,     0.704,     1.4,     p1 = ((System_On and (Current_System_Mode > 8)) => false);,     
infusion,     p11,     Faulty_Prop11-LOR-0-4-ROR-0-2,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     1045.175,     1042.517,     996.059,     46.458,     34,     34,     29.295,     1.366,     p1 = (((Current_System_Mode >= 1) xor (not System_On)) and ((Current_System_Mode > 1) or (Commanded_Flow_Rate = 0)));,     
infusion,     p11,     Faulty_Prop11-ROR-1-0-ROR-3-7,     true,    0,    TRUE_FOR_MAX_STEPS,     4,     30.309,     29.96,     11.386,     18.574,     14,     14,     0.813,     1.326,     p1 = (((Current_System_Mode > 8) or (Current_System_Mode = 5)) => false);,     
infusion,     p11,     Faulty_Prop11-ROR-0--1-ROR-0-5,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     264.401,     259.922,     202.538,     57.384,     41,     42,     4.939,     1.366,     p1 = (((not System_On) xor (Current_System_Mode > 0)) xor (System_On xor System_On));,     
infusion,     p11,     Faulty_Prop11-ROR-1--1-ROR-3-6,     true,    0,    TRUE_FOR_MAX_STEPS,     4,     43.109,     42.616,     16.56,     26.056,     18,     18,     0.92,     1.447,     p1 = (((Current_System_Mode <= 8) => (Current_System_Mode = 5)) => false);,     
infusion,     p11,     Faulty_Prop11-ROR-0-2-ROR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     215.364,     213.997,     179.74,     34.257,     24,     24,     7.489,     1.427,     p1 = (((Current_System_Mode <= 0) xor System_On) and (System_On or (Commanded_Flow_Rate = Current_System_Mode)));,     
infusion,     p11,     Faulty_Prop11-LOR-1--1-ROR-3-1,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     29.764,     29.441,     12.377,     17.064,     13,     13,     0.952,     1.312,     p1 = (((Current_System_Mode > 1) => (not System_On)) => (Commanded_Flow_Rate = 0));,     
