gpca,     p4,     Faulty_GPCA_Prop4-ROR-2--1,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     14.189,     14.074,     3.617,     10.457,     4,     4,     0.904,     2.614,     p1 = ((System_On and Occlusion) => (out_Highest_Level_Alarm <= 4));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-3,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     234.887,     233.699,     27.42,     206.279,     19,     19,     1.443,     10.856,     p1 = (((out_Highest_Level_Alarm <= 4) xor (out_Highest_Level_Alarm <= 0)) xor ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-3,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     232.577,     231.303,     26.832,     204.471,     19,     19,     1.412,     10.761,     p1 = (((out_Highest_Level_Alarm <= 4) xor (out_Highest_Level_Alarm <= 0)) xor ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p4,     Faulty_GPCA_Prop4-ROR-0--1,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     625.778,     625.503,     6.231,     619.272,     5,     6,     1.246,     103.212,     p1 = ((System_On => System_On) or (Occlusion xor false));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-3,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     252.649,     251.361,     28.511,     222.85,     19,     19,     1.5,     11.728,     p1 = (((out_Highest_Level_Alarm <= 4) xor (out_Highest_Level_Alarm <= 0)) xor ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p4,     Faulty_GPCA_Prop4-ROR-0-2,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     239.667,     238.344,     27.788,     210.556,     18,     18,     1.543,     11.697,     p1 = (((out_Highest_Level_Alarm >= 1) and (out_Highest_Level_Alarm <= 4)) xor ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p4,     Faulty_GPCA_Prop4-ROR-2-1,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     15.834,     15.69,     4.625,     11.065,     6,     6,     0.77,     1.844,     p1 = ((System_On and Occlusion) => (out_Highest_Level_Alarm < 5));,     
gpca,     p4,     Faulty_GPCA_Prop4-ROR-2-3,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     13.65,     13.517,     3.415,     10.102,     4,     4,     0.853,     2.525,     p1 = ((System_On and Occlusion) => (out_Highest_Level_Alarm <= 4));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0--1,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     273.025,     271.607,     29.859,     241.748,     19,     19,     1.571,     12.723,     p1 = (((out_Highest_Level_Alarm <= 4) xor (out_Highest_Level_Alarm <= 0)) xor ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-1--1,     true,    1,    MINIMAL_FORALL_UNKNOWN,     1,     614.24,     614.13,     2.219,     611.911,     3,     4,     0.739,     152.977,     p1 = ((Occlusion and (not Occlusion)) => (out_Highest_Level_Alarm >= 3));,     
gpca,     p4,     Faulty_GPCA_Prop4-ROR-0-3,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     740.638,     740.406,     4.124,     736.282,     4,     5,     1.031,     147.256,     p1 = (Occlusion xor (not Occlusion));,     
gpca,     p4,     Faulty_GPCA_Prop4-ROR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     2,     155.292,     153.528,     40.45,     113.078,     18,     18,     2.247,     6.282,     p1 = (((out_Highest_Level_Alarm >= 1) => (not System_On)) xor ((out_Highest_Level_Alarm < 5) xor (not System_On)));,     
gpca,     p4,     Faulty_GPCA_Prop4-ROR-2-2,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     21.099,     20.929,     4.828,     16.101,     5,     5,     0.965,     3.22,     p1 = ((System_On and Occlusion) => (out_Highest_Level_Alarm < 5));,     
gpca,     p4,     Faulty_GPCA_Prop4-ROR-2--1,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     19.214,     18.999,     4.52,     14.479,     4,     4,     1.13,     3.619,     p1 = ((System_On and Occlusion) => (out_Highest_Level_Alarm <= 4));,     
