gpca,     p3,     Faulty_GPCA_Prop3-ROR-0-0-ROR-0-5,     true,    4,    MINIMAL_FORALL_UNKNOWN,     1,     645.34,     642.982,     20.19,     622.792,     9,     10,     2.243,     62.279,     p1 = true;,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-0-8-ROR-0-1,     true,    4,    MINIMAL_FORALL_UNKNOWN,     1,     944.923,     926.643,     231.255,     695.388,     26,     27,     8.894,     25.755,     p1 = ((not ((VTBI_High > 1) or ((Volume_Infused >= 41) => (Volume_Infused >= 40)))) xor true);,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-2-1-ROR-4-1,     true,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     166.555,     157.745,     39.388,     118.357,     36,     37,     1.094,     3.198,     p1 = ((((((not System_On) or (not Reservoir_Empty)) or ((not Reservoir_Empty) or (not System_On))) or (((not Reservoir_Empty) or (not In_Therapy)) or (Reservoir_Empty => System_On))) and false) => (out_Highest_Level_Alarm >= 3));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-1--1-ROR-2-3,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     606.74,     606.65,     1.909,     604.741,     3,     4,     0.636,     151.185,     p1 = (((Occlusion and Occlusion) and (System_On and (not Occlusion))) => (out_Highest_Level_Alarm > 4));,     
gpca,     p4,     Faulty_GPCA_Prop4-ROR-1--1-ROR-2-2,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     655.485,     655.296,     4.331,     650.965,     6,     7,     0.721,     92.995,     p1 = ((((not System_On) and (not Occlusion)) and ((not System_On) => Occlusion)) => false);,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0--1-ROR-0-1,     true,    3,    MINIMAL_FORALL_UNKNOWN,     1,     661.549,     661.038,     5.545,     655.493,     6,     7,     0.924,     93.641,     p1 = (((System_On or (out_Highest_Level_Alarm > 3)) and ((out_Highest_Level_Alarm > 3) xor (out_Highest_Level_Alarm < 3))) or ((out_Highest_Level_Alarm < 10) or (out_Highest_Level_Alarm > 3)));,     
gpca,     p5,     Faulty_GPCA_Prop5-ROR-1--1-ROR-2-3,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     639.915,     639.67,     4.749,     634.921,     7,     8,     0.678,     79.365,     p1 = (((Door_Open and (not Door_Open)) or ((not Door_Open) xor (not Door_Open))) => (out_Highest_Level_Alarm > 3));,     
gpca,     p6,     Faulty_GPCA_Prop6-LOR-0-6-ROR-0-4,     true,    4,    MINIMAL_EXISTS_UKNOWN,     1,     2636.202,     2618.236,     2349.01,     269.226,     22,     22,     106.773,     12.237,     p1 = true;,     
gpca,     p6,     Faulty_GPCA_Prop6-LOR-1-1-LOR-1-3,     true,    3,    MINIMAL_FORALL_UNKNOWN,     1,     657.816,     656.952,     9.385,     647.567,     8,     9,     1.173,     71.951,     p1 = (false => ((out_Audio_Notification_Command = Audio_Level) and (out_Is_Audio_Disabled = 0)));,     
gpca,     p6,     Faulty_GPCA_Prop6-LOR-1-1-ROR-5-16,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     1273.243,     1267.031,     43.165,     1223.866,     17,     18,     2.539,     67.992,     p1 = (((((out_Highest_Level_Alarm >= 2) xor (out_Highest_Level_Alarm <= 4)) and ((out_Highest_Level_Alarm <= 4) xor (out_Highest_Level_Alarm <= 1))) and (((Disable_Audio > 2) or (Disable_Audio < out_Highest_Level_Alarm)) xor (not (out_Highest_Level_Alarm = Disable_Audio)))) => (true xor ((out_Is_Audio_Disabled > 1) => (out_Is_Audio_Disabled > 0))));,     
gpca,     p6,     Faulty_GPCA_Prop6-ROR-2-4-ROR-4-6,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     605.325,     605.253,     1.609,     603.644,     2,     3,     0.804,     201.214,     p1 = (((((not System_On) and (out_Highest_Level_Alarm > 4)) => (System_On and (out_Highest_Level_Alarm > 4))) and false) => ((out_Audio_Notification_Command = Audio_Level) and (out_Is_Audio_Disabled = 0)));,     
gpca,     p6,     Faulty_GPCA_Prop6-ROR-2--1-ROR-5-18,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     610.181,     609.973,     3.42,     606.553,     3,     4,     1.14,     151.638,     p1 = ((((System_On xor System_On) and ((not System_On) => (out_Highest_Level_Alarm > 4))) and (Disable_Audio = 0)) => (((out_Audio_Notification_Command > 0) => (out_Audio_Notification_Command > 0)) => (not (out_Audio_Notification_Command > 1))));,     
gpca,     p6,     Faulty_GPCA_Prop6-LOR-1-4-ROR-1-2,     true,    3,    MINIMAL_FORALL_UNKNOWN,     1,     647.176,     645.826,     14.354,     631.472,     10,     11,     1.435,     57.406,     p1 = (false => ((out_Audio_Notification_Command = Audio_Level) and (out_Is_Audio_Disabled = 0)));,     
gpca,     p6,     Faulty_GPCA_Prop6-LOR-1-0-ROR-5-2,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     760.021,     757.327,     17.573,     739.754,     11,     12,     1.597,     61.646,     p1 = (((((out_Highest_Level_Alarm < 0) and (out_Highest_Level_Alarm > 3)) or ((out_Highest_Level_Alarm = Disable_Audio) => (out_Highest_Level_Alarm <= 0))) and (not (not (Disable_Audio < 0)))) => true);,     
gpca,     p6,     Faulty_GPCA_Prop6-LOR-1-1-ROR-1--1,     true,    3,    MINIMAL_FORALL_UNKNOWN,     1,     625.651,     625.103,     5.84,     619.263,     8,     9,     0.73,     68.807,     p1 = ((((out_Highest_Level_Alarm = Disable_Audio) and (Disable_Audio = 0)) and (not (Disable_Audio <= out_Highest_Level_Alarm))) => ((out_Audio_Notification_Command = Audio_Level) and (out_Is_Audio_Disabled = 0)));,     
gpca,     p6,     Faulty_GPCA_Prop6-LOR-0-1-LOR-0-8,     true,    4,    MINIMAL_FORALL_UNKNOWN,     1,     2014.958,     2004.387,     1149.472,     854.915,     17,     18,     67.616,     47.495,     p1 = true;,     
gpca,     p6,     Faulty_GPCA_Prop6-ROR-1-14-ROR-5-18,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     652.545,     649.338,     16.647,     632.691,     13,     14,     1.28,     45.192,     p1 = (false => (((out_Audio_Notification_Command <= 0) => (Audio_Level >= 0)) => ((out_Is_Audio_Disabled < 31) xor false)));,     
gpca,     p7,     Faulty_GPCA_Prop7-ROR-3-8-ROR-3-13,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     5,     551.2,     540.619,     394.752,     145.867,     52,     53,     7.591,     2.752,     p1 = ((System_On and (Disable_Audio > 0)) => (((Disable_Audio = out_Audio_Notification_Command) xor (Disable_Audio = out_Audio_Notification_Command)) xor ((out_Audio_Notification_Command <= 0) and (Disable_Audio = out_Is_Audio_Disabled))));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-2--1-ROR-3-2,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     700.791,     698.781,     32.917,     665.864,     23,     24,     1.431,     27.744,     p1 = (((((not System_On) and (not In_Therapy)) => (In_Therapy and (not In_Therapy))) and false) => (out_Highest_Level_Alarm >= 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-1--1-ROR-1--1,     true,    3,    MINIMAL_MAX_LOOP_REACHED,     1,     229.114,     213.52,     77.203,     136.317,     34,     35,     2.27,     3.894,     p1 = (false => (out_Highest_Level_Alarm >= 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-ROR-2--1-ROR-3-1,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     648.713,     648.129,     13.142,     634.987,     11,     12,     1.194,     52.915,     p1 = (((((not In_Therapy) => (not In_Therapy)) and (System_On and (not In_Therapy))) and false) => (out_Highest_Level_Alarm >= 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-1-3-ROR-1-1,     true,    3,    MINIMAL_MAX_LOOP_REACHED,     1,     257.462,     244.816,     55.833,     188.983,     34,     35,     1.642,     5.399,     p1 = (((false xor (Reservoir_Volume < 1)) and ((Low_Reservoir > 0) and (Low_Reservoir < 1))) => (out_Highest_Level_Alarm >= 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-2-0-ROR-4-6,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     631.329,     631.072,     4.446,     626.626,     6,     7,     0.741,     89.518,     p1 = ((((System_On and (not In_Therapy)) and (In_Therapy and (not In_Therapy))) and (Reservoir_Volume < Low_Reservoir)) => false);,     
