infusion,     p3,     Faulty_Prop3-ROR-2--1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     29.843,     29.74,     4.827,     24.913,     7,     7,     0.689,     3.559,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (Commanded_Flow_Rate = 0));,     
infusion,     p3,     Faulty_Prop3-ROR-2-1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     28.657,     28.557,     4.527,     24.03,     7,     7,     0.646,     3.432,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (Commanded_Flow_Rate = 0));,     
infusion,     p3,     Faulty_Prop3-ROR-3-8,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     30.843,     30.78,     1.811,     28.969,     3,     3,     0.603,     9.656,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (Commanded_Flow_Rate = 0));,     
infusion,     p3,     Faulty_Prop3-ROR-3-4,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     29.835,     29.786,     1.711,     28.075,     3,     3,     0.57,     9.358,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (Commanded_Flow_Rate = 0));,     
infusion,     p3,     Faulty_Prop3-ROR-3-8,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     33.316,     33.256,     1.706,     31.55,     3,     3,     0.568,     10.516,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (Commanded_Flow_Rate = 0));,     
infusion,     p3,     Faulty_Prop3-ROR-3-6,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     30.53,     30.464,     1.906,     28.558,     3,     3,     0.635,     9.519,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (Commanded_Flow_Rate = 0));,     
infusion,     p3,     Faulty_Prop3-ROR-3-4,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     33.529,     33.469,     1.806,     31.663,     3,     3,     0.602,     10.554,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (Commanded_Flow_Rate = 0));,     
infusion,     p3,     Faulty_Prop3-ROR-2-0,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     19.776,     19.693,     2.319,     17.374,     4,     4,     0.579,     4.343,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (Commanded_Flow_Rate = 0));,     
infusion,     p4,     Faulty_Prop4-ROR-3-7,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     15.172,     15.011,     5.928,     9.083,     7,     7,     0.846,     1.297,     p1 = ((System_On and (Highest_Level_Alarm = 3)) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p4,     Faulty_Prop4-ROR-3-8,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     14.31,     14.123,     4.821,     9.302,     6,     6,     0.803,     1.55,     p1 = ((System_On and (Highest_Level_Alarm = 3)) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p4,     Faulty_Prop4-ROR-3-6,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     19.027,     18.844,     7.035,     11.809,     7,     7,     1.005,     1.687,     p1 = ((System_On and (Highest_Level_Alarm = 3)) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p4,     Faulty_Prop4-ROR-3-7,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     17.766,     17.573,     6.842,     10.731,     7,     7,     0.977,     1.533,     p1 = ((System_On and (Highest_Level_Alarm = 3)) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p4,     Faulty_Prop4-ROR-3-5,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     18.957,     18.763,     7.229,     11.534,     7,     7,     1.032,     1.647,     p1 = ((System_On and (Highest_Level_Alarm = 3)) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p5,     Faulty_Prop5-ROR-3-8,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     3.464,     3.416,     1.204,     2.212,     2,     2,     0.602,     1.106,     p1 = ((System_On and (Configured < 1)) => (Commanded_Flow_Rate = 0));,     
infusion,     p5,     Faulty_Prop5-ROR-3-6,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     4.16,     4.122,     1.507,     2.615,     2,     2,     0.753,     1.307,     p1 = ((System_On and (Configured < 1)) => (Commanded_Flow_Rate = 0));,     
infusion,     p5,     Faulty_Prop5-ROR-3-6,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     3.872,     3.823,     1.405,     2.418,     2,     2,     0.702,     1.209,     p1 = ((System_On and (Configured < 1)) => (Commanded_Flow_Rate = 0));,     
infusion,     p5,     Faulty_Prop5-ROR-3-8,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     4.071,     4.028,     1.709,     2.319,     2,     2,     0.854,     1.159,     p1 = ((System_On and (Configured < 1)) => (Commanded_Flow_Rate = 0));,     
infusion,     p5,     Faulty_Prop5-ROR-3-6,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     3.576,     3.521,     1.204,     2.317,     2,     2,     0.602,     1.158,     p1 = ((System_On and (Configured < 1)) => (Commanded_Flow_Rate = 0));,     
infusion,     p5,     Faulty_Prop5-ROR-3-4,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     3.573,     3.525,     1.204,     2.321,     2,     2,     0.602,     1.16,     p1 = ((System_On and (Configured < 1)) => (Commanded_Flow_Rate = 0));,     
infusion,     p6,     Faulty_Prop6-ROR-7-6,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     8.431,     8.213,     2.566,     5.647,     3,     3,     0.855,     1.882,     p1 = ((System_On and (Highest_Level_Alarm = 2)) => (((((Current_System_Mode = 1) or (Current_System_Mode = 2)) or (Current_System_Mode = 6)) or (Current_System_Mode = 7)) or (Current_System_Mode = 8)));,     
