infusion,     p4,     Faulty_Prop4-LOR-1-0-ROR-1-8,     false,    1,    TRUE_FOR_MAX_STEPS,     1,     22.557,     22.377,     7.747,     14.63,     13,     13,     0.595,     1.125,     p1 = (false => (Commanded_Flow_Rate <> Flow_Rate_KVO));,     
infusion,     p4,     Faulty_Prop4-ROR-2-2-ROR-2-8,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     11.778,     11.681,     4.015,     7.666,     7,     7,     0.573,     1.095,     p1 = ((System_On and false) => (Commanded_Flow_Rate <> Flow_Rate_KVO));,     
infusion,     p4,     Faulty_Prop4-LOR-1--1-ROR-1-4,     false,    1,    TRUE_FOR_MAX_STEPS,     1,     22.601,     22.41,     7.855,     14.555,     13,     13,     0.604,     1.119,     p1 = (((Highest_Level_Alarm < 3) and (Highest_Level_Alarm = 3)) => (Commanded_Flow_Rate < Flow_Rate_KVO));,     
infusion,     p4,     Faulty_Prop4-ROR-1-2-ROR-1-7,     false,    1,    TRUE_FOR_MAX_STEPS,     1,     22.141,     21.968,     7.44,     14.528,     13,     13,     0.572,     1.117,     p1 = (false => (Commanded_Flow_Rate = Flow_Rate_KVO));,     
infusion,     p4,     Faulty_Prop4-ROR-1-2-ROR-1-4,     false,    1,    TRUE_FOR_MAX_STEPS,     1,     22.695,     22.493,     7.542,     14.951,     13,     13,     0.58,     1.15,     p1 = (false => (Commanded_Flow_Rate < Flow_Rate_KVO));,     
infusion,     p4,     Faulty_Prop4-ROR-1-3-ROR-1-4,     false,    1,    TRUE_FOR_MAX_STEPS,     1,     22.477,     22.281,     7.947,     14.334,     13,     13,     0.611,     1.102,     p1 = (((Highest_Level_Alarm < 4) and (Highest_Level_Alarm = 4)) => (Commanded_Flow_Rate < Flow_Rate_KVO));,     
infusion,     p4,     Faulty_Prop4-LOR-1--1-ROR-1-8,     false,    1,    TRUE_FOR_MAX_STEPS,     1,     22.187,     22.0,     7.442,     14.558,     13,     13,     0.572,     1.119,     p1 = (false => (Commanded_Flow_Rate <> Flow_Rate_KVO));,     
infusion,     p4,     Faulty_Prop4-ROR-1-3-ROR-1-4,     false,    1,    TRUE_FOR_MAX_STEPS,     1,     28.823,     28.535,     9.854,     18.681,     13,     13,     0.758,     1.437,     p1 = (((Highest_Level_Alarm < 4) and (Highest_Level_Alarm = 4)) => (Commanded_Flow_Rate < Flow_Rate_KVO));,     
infusion,     p4,     Faulty_Prop4-LOR-1-3-ROR-1-7,     false,    1,    TRUE_FOR_MAX_STEPS,     1,     24.72,     24.496,     8.646,     15.85,     13,     13,     0.665,     1.219,     p1 = (true or (Commanded_Flow_Rate = Flow_Rate_KVO));,     
