gpca,     p5,     Faulty_GPCA_Prop5-LOR-0-1-LOR-0-2,     true,    3,    MINIMAL_FORALL_UNKNOWN,     3,     928.479,     921.803,     84.47,     837.333,     26,     27,     3.248,     31.012,     p1 = ((((out_Highest_Level_Alarm > 4) or System_On) or ((not Door_Open) xor (not Door_Open))) xor ((System_On xor (out_Highest_Level_Alarm < 0)) => ((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm = 0))));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-0-0-ROR-0-2,     true,    3,    MINIMAL_FORALL_UNKNOWN,     3,     917.384,     910.878,     92.127,     818.751,     26,     27,     3.543,     30.324,     p1 = ((((out_Highest_Level_Alarm > 4) or System_On) or ((not Door_Open) xor (not Door_Open))) xor ((System_On xor (out_Highest_Level_Alarm < 0)) => ((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm = 0))));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-0-2-ROR-0-1,     true,    3,    MINIMAL_FORALL_UNKNOWN,     4,     1714.589,     1706.509,     111.968,     1594.541,     29,     30,     3.86,     53.151,     p1 = ((((not System_On) xor (out_Highest_Level_Alarm > 4)) => ((out_Highest_Level_Alarm >= 10) xor (out_Highest_Level_Alarm >= 10))) xor (((out_Highest_Level_Alarm < 1) xor System_On) => ((not System_On) xor (out_Highest_Level_Alarm < 0))));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-0-3-ROR-0-3,     true,    3,    MINIMAL_FORALL_UNKNOWN,     3,     1074.32,     1065.706,     151.483,     914.223,     29,     30,     5.223,     30.474,     p1 = ((((out_Highest_Level_Alarm > 5) xor (out_Highest_Level_Alarm >= 6)) xor ((not System_On) and (out_Highest_Level_Alarm = 0))) xor (((out_Highest_Level_Alarm > 0) xor (out_Highest_Level_Alarm >= 5)) xor ((out_Highest_Level_Alarm >= 10) xor (out_Highest_Level_Alarm >= 10))));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-0-1-ROR-0-0,     true,    3,    MINIMAL_FORALL_UNKNOWN,     3,     1090.52,     1081.53,     164.415,     917.115,     30,     31,     5.48,     29.584,     p1 = ((((out_Highest_Level_Alarm >= 4) and (not System_On)) or ((out_Highest_Level_Alarm = 0) => System_On)) xor ((false xor (out_Highest_Level_Alarm > 0)) => (not (out_Highest_Level_Alarm <= 4))));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-1-1-ROR-2--1,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     644.035,     643.779,     6.534,     637.245,     6,     7,     1.089,     91.035,     p1 = (((Door_Open => Door_Open) and ((not Door_Open) and Door_Open)) => false);,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-0--1-LOR-0-4,     true,    3,    MINIMAL_FORALL_UNKNOWN,     4,     955.89,     950.39,     75.465,     874.925,     25,     26,     3.018,     33.65,     p1 = ((((out_Highest_Level_Alarm = 0) and (not System_On)) and ((not System_On) xor System_On)) xor (((not System_On) xor (out_Highest_Level_Alarm = 0)) xor (System_On xor (out_Highest_Level_Alarm >= 5))));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-0-1-LOR-0-2,     true,    3,    MINIMAL_FORALL_UNKNOWN,     3,     917.988,     911.091,     89.088,     822.003,     26,     27,     3.426,     30.444,     p1 = ((((out_Highest_Level_Alarm > 4) or System_On) or ((not Door_Open) xor (not Door_Open))) xor ((System_On xor (out_Highest_Level_Alarm < 0)) => ((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm = 0))));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-0-0-ROR-0--1,     true,    3,    MINIMAL_FORALL_UNKNOWN,     3,     895.343,     888.981,     81.867,     807.114,     26,     27,     3.148,     29.893,     p1 = ((((out_Highest_Level_Alarm > 4) or System_On) or ((not Door_Open) xor (not Door_Open))) xor ((System_On xor (out_Highest_Level_Alarm < 0)) => ((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm = 0))));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-1--1-ROR-2--1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     44.171,     43.988,     4.852,     39.136,     7,     7,     0.693,     5.59,     p1 = ((((not Door_Open) => (not Door_Open)) and ((not Door_Open) => (not Door_Open))) => (out_Highest_Level_Alarm < 5));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-1--1-ROR-2-2,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     24.612,     24.318,     7.286,     17.032,     9,     9,     0.809,     1.892,     p1 = (((System_On xor (not Door_Open)) xor (Door_Open => (not Door_Open))) => (out_Highest_Level_Alarm > 0));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-0-0-ROR-0-2,     true,    3,    MINIMAL_FORALL_UNKNOWN,     3,     897.331,     891.293,     84.094,     807.199,     26,     27,     3.234,     29.896,     p1 = ((((out_Highest_Level_Alarm > 4) or System_On) or ((not Door_Open) xor (not Door_Open))) xor ((System_On xor (out_Highest_Level_Alarm < 0)) => ((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm = 0))));,     
