infusion,     p14,     Faulty_Prop14-ROR-4-3,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     15.474,     15.187,     4.794,     10.393,     6,     6,     0.799,     1.732,     p1 = ((System_On and (((Current_System_Mode > 4) or (Current_System_Mode = 7)) or (Current_System_Mode = 8))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-2-4,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     25.126,     24.867,     11.181,     13.686,     8,     8,     1.397,     1.71,     p1 = ((System_On and (((Current_System_Mode < 2) xor (Current_System_Mode > 5)) xor ((Current_System_Mode = 5) xor false))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-3--1,     true,    1,    TRUE_FOR_MAX_STEPS,     4,     19.96,     19.742,     6.26,     13.482,     8,     8,     0.782,     1.685,     p1 = ((System_On and (((Current_System_Mode >= 2) => (Current_System_Mode >= 5)) or (Current_System_Mode = 8))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-1-3,     true,    2,    TRUE_FOR_MAX_STEPS,     2,     51.293,     50.63,     26.256,     24.374,     13,     13,     2.019,     1.874,     p1 = ((((Current_System_Mode < 2) xor (Current_System_Mode <= 4)) => (not System_On)) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-3-4,     true,    1,    TRUE_FOR_MAX_STEPS,     4,     17.641,     17.464,     5.344,     12.12,     8,     8,     0.668,     1.515,     p1 = ((System_On and (((Current_System_Mode >= 2) => (Current_System_Mode >= 5)) or (Current_System_Mode = 8))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-LOR-1-1,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     47.764,     47.232,     24.958,     22.274,     14,     14,     1.782,     1.591,     p1 = (((not (Current_System_Mode >= 5)) => ((Current_System_Mode >= 2) => (not System_On))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-2-13,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     50.841,     50.419,     27.661,     22.758,     10,     10,     2.766,     2.275,     p1 = ((System_On and ((Current_System_Mode > 1) => (not (Current_System_Mode < 5)))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-3-3,     true,    1,    TRUE_FOR_MAX_STEPS,     4,     27.066,     26.842,     10.161,     16.681,     9,     9,     1.129,     1.853,     p1 = ((System_On and (((Current_System_Mode >= 2) xor (Current_System_Mode < 5)) or (Current_System_Mode = 8))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-1-8,     true,    2,    TRUE_FOR_MAX_STEPS,     2,     77.312,     76.578,     42.36,     34.218,     13,     13,     3.258,     2.632,     p1 = ((((Current_System_Mode < 2) xor (Current_System_Mode <= 4)) => (not System_On)) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-LOR-1--1,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     94.052,     93.207,     56.02,     37.187,     14,     14,     4.001,     2.656,     p1 = ((((Current_System_Mode > 1) xor (not System_On)) => (System_On xor (Current_System_Mode <= 4))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
