                                                                               Step 
variable                                                                          0     1     2 
Audio_Level26                                                                     0     0     0 
Audio_Level27                                                                     0     0     0 
Audio_Level28                                                                     0     0     0 
Audio_Level29                                                                     0     0     0 
Audio_Level30                                                                     0     0     0 
Audio_Level31                                                                     0     0     0 
Audio_Level32                                                                     0     0     0 
Audio_Level33                                                                     3     2     2 
Audio_Level34                                                                   115   114   114 
Audio_Level35                                                                     1     1     1 
Audio_Level36                                                                     1     1     0 
Audio_Level37                                                                     0     0     0 
Audio_Level38                                                                   117   117   117 
Audio_Level39                                                                     0     0     0 
Audio_Level40                                                                     0     0     0 
Audio_Level41                                                                     1     1     1 
Audio_Level42                                                                     0     0     0 
Battery_Depleted                                                              false false false 
Battery_Depleted0                                                             false false false 
Battery_Depleted1                                                             false false false 
Battery_Depleted2                                                              true  true  true 
Battery_Depleted3                                                              true  true  true 
Battery_Depleted4                                                              true  true  true 
Battery_Depleted5                                                             false  true  true 
Battery_Depleted6                                                              true  true  true 
Battery_Depleted7                                                             false  true  true 
Battery_Depleted8                                                              true  true  true 
Battery_Depleted9                                                              true false false 
Battery_Depleted10                                                            false false false 
Battery_Depleted11                                                             true  true  true 
Battery_Depleted12                                                            false false false 
Battery_Depleted13                                                             true  true  true 
Battery_Depleted14                                                             true  true  true 
Battery_Depleted15                                                             true  true  true 
Battery_Depleted16                                                             true  true  true 
Battery_Depleted17                                                            false  true  true 
Battery_Depleted18                                                            false false false 
Battery_Depleted19                                                            false false false 
Battery_Depleted20                                                             true  true  true 
Battery_Depleted21                                                            false false false 
Battery_Depleted22                                                             true  true  true 
Battery_Depleted23                                                            false false false 
Battery_Depleted24                                                             true  true  true 
Battery_Depleted25                                                            false false false 
Battery_Depleted26                                                            false false false 
Battery_Depleted27                                                            false false false 
Battery_Depleted28                                                             true  true  true 
Battery_Depleted29                                                             true  true  true 
Battery_Depleted30                                                            false false false 
Battery_Depleted31                                                             true  true  true 
Battery_Depleted32                                                            false false false 
Battery_Depleted33                                                            false false false 
Battery_Depleted34                                                            false false false 
Battery_Depleted35                                                            false false false 
Battery_Depleted36                                                             true false  true 
Battery_Depleted37                                                            false false false 
Battery_Depleted38                                                            false false false 
Battery_Depleted39                                                             true  true  true 
Battery_Depleted40                                                             true  true  true 
Battery_Depleted41                                                            false false false 
Battery_Depleted42                                                            false false false 
Battery_Low                                                                   false false false 
Battery_Low0                                                                  false false false 
Battery_Low1                                                                  false false false 
Battery_Low2                                                                   true  true  true 
Battery_Low3                                                                  false false false 
Battery_Low4                                                                  false false false 
Battery_Low5                                                                  false false false 
Battery_Low6                                                                  false false false 
Battery_Low7                                                                  false  true false 
Battery_Low8                                                                  false false false 
Battery_Low9                                                                   true false false 
Battery_Low10                                                                 false false false 
Battery_Low11                                                                 false false false 
Battery_Low12                                                                 false false false 
Battery_Low13                                                                 false false false 
Battery_Low14                                                                 false false false 
Battery_Low15                                                                 false false false 
Battery_Low16                                                                 false false false 
Battery_Low17                                                                  true false false 
Battery_Low18                                                                 false false false 
Battery_Low19                                                                 false false false 
Battery_Low20                                                                  true  true  true 
Battery_Low21                                                                 false false false 
Battery_Low22                                                                  true false false 
Battery_Low23                                                                 false false false 
Battery_Low24                                                                  true  true  true 
Battery_Low25                                                                 false false false 
Battery_Low26                                                                 false false false 
Battery_Low27                                                                  true  true  true 
Battery_Low28                                                                  true  true  true 
Battery_Low29                                                                 false false false 
Battery_Low30                                                                 false false false 
Battery_Low31                                                                 false false false 
Battery_Low32                                                                 false false false 
Battery_Low33                                                                  true false false 
Battery_Low34                                                                 false false false 
Battery_Low35                                                                 false false false 
Battery_Low36                                                                 false false false 
Battery_Low37                                                                  true  true  true 
Battery_Low38                                                                 false false false 
Battery_Low39                                                                  true  true  true 
Battery_Low40                                                                 false false false 
Battery_Low41                                                                 false false false 
Battery_Low42                                                                 false false false 
Battery_Unable_To_Charge                                                      false false false 
Battery_Unable_To_Charge0                                                     false false false 
Battery_Unable_To_Charge1                                                      true false false 
Battery_Unable_To_Charge2                                                      true  true  true 
Battery_Unable_To_Charge3                                                     false false false 
Battery_Unable_To_Charge4                                                     false false false 
Battery_Unable_To_Charge5                                                     false false false 
Battery_Unable_To_Charge6                                                     false false false 
Battery_Unable_To_Charge7                                                     false  true false 
Battery_Unable_To_Charge8                                                     false false false 
Battery_Unable_To_Charge9                                                      true false false 
Battery_Unable_To_Charge10                                                    false false false 
Battery_Unable_To_Charge11                                                    false false false 
Battery_Unable_To_Charge12                                                     true  true  true 
Battery_Unable_To_Charge13                                                    false false false 
Battery_Unable_To_Charge14                                                    false false false 
Battery_Unable_To_Charge15                                                    false false false 
Battery_Unable_To_Charge16                                                    false false false 
Battery_Unable_To_Charge17                                                     true false false 
Battery_Unable_To_Charge18                                                    false false false 
Battery_Unable_To_Charge19                                                    false false false 
Battery_Unable_To_Charge20                                                     true  true  true 
Battery_Unable_To_Charge21                                                    false false false 
Battery_Unable_To_Charge22                                                     true false  true 
Battery_Unable_To_Charge23                                                    false false false 
Battery_Unable_To_Charge24                                                     true  true  true 
Battery_Unable_To_Charge25                                                    false false false 
Battery_Unable_To_Charge26                                                    false false false 
Battery_Unable_To_Charge27                                                     true  true  true 
Battery_Unable_To_Charge28                                                    false false false 
Battery_Unable_To_Charge29                                                    false false false 
Battery_Unable_To_Charge30                                                    false false false 
Battery_Unable_To_Charge31                                                    false false false 
Battery_Unable_To_Charge32                                                    false false false 
Battery_Unable_To_Charge33                                                    false false false 
Battery_Unable_To_Charge34                                                    false false false 
Battery_Unable_To_Charge35                                                    false false false 
Battery_Unable_To_Charge36                                                    false false false 
Battery_Unable_To_Charge37                                                     true  true  true 
Battery_Unable_To_Charge38                                                    false false false 
Battery_Unable_To_Charge39                                                     true  true  true 
Battery_Unable_To_Charge40                                                    false false false 
Battery_Unable_To_Charge41                                                    false false false 
Battery_Unable_To_Charge42                                                    false false false 
CPU_In_Error                                                                  false false false 
CPU_In_Error0                                                                 false false false 
CPU_In_Error1                                                                 false false false 
CPU_In_Error2                                                                  true  true  true 
CPU_In_Error3                                                                  true  true  true 
CPU_In_Error4                                                                  true  true  true 
CPU_In_Error5                                                                 false  true false 
CPU_In_Error6                                                                  true  true  true 
CPU_In_Error7                                                                 false  true  true 
CPU_In_Error8                                                                  true  true  true 
CPU_In_Error9                                                                  true false false 
CPU_In_Error10                                                                false false false 
CPU_In_Error11                                                                 true  true  true 
CPU_In_Error12                                                                false false false 
CPU_In_Error13                                                                 true  true  true 
CPU_In_Error14                                                                 true  true  true 
CPU_In_Error15                                                                 true  true  true 
CPU_In_Error16                                                                 true  true  true 
CPU_In_Error17                                                                false  true  true 
CPU_In_Error18                                                                false false false 
CPU_In_Error19                                                                false false false 
CPU_In_Error20                                                                 true  true  true 
CPU_In_Error21                                                                 true  true  true 
CPU_In_Error22                                                                 true false  true 
CPU_In_Error23                                                                false false false 
CPU_In_Error24                                                                 true  true  true 
CPU_In_Error25                                                                false false false 
CPU_In_Error26                                                                false false false 
CPU_In_Error27                                                                false false false 
CPU_In_Error28                                                                 true  true  true 
CPU_In_Error29                                                                 true  true  true 
CPU_In_Error30                                                                false false false 
CPU_In_Error31                                                                 true  true  true 
CPU_In_Error32                                                                false false false 
CPU_In_Error33                                                                false  true  true 
CPU_In_Error34                                                                false false false 
CPU_In_Error35                                                                false false false 
CPU_In_Error36                                                                false false false 
CPU_In_Error37                                                                false false false 
CPU_In_Error38                                                                false false false 
CPU_In_Error39                                                                 true  true  true 
CPU_In_Error40                                                                 true  true  true 
CPU_In_Error41                                                                false false false 
CPU_In_Error42                                                                 true  true  true 
Check_spec~0.Air_In_Line                                                       true  true  true 
Check_spec~0.Air_Pressure                                                     false false false 
Check_spec~0.Audio_Enable_Duration                                                0     0     0 
Check_spec~0.Audio_Level                                                          0     0     0 
Check_spec~0.Battery_Depleted                                                 false false false 
Check_spec~0.Battery_Low                                                      false false false 
Check_spec~0.Battery_Unable_To_Charge                                         false false false 
Check_spec~0.CPU_In_Error                                                     false false false 
Check_spec~0.Commanded_Flow_Rate                                                  1     1     1 
Check_spec~0.Config_Timer                                                         0     0     0 
Check_spec~0.Config_Warning_Duration                                              0     0     0 
Check_spec~0.Current_System_Mode                                                  9     9     9 
Check_spec~0.Disable_Audio                                                        0     0     0 
Check_spec~0.Door_Open                                                         true  true  true 
Check_spec~0.Flow_Rate                                                            0     0     0 
Check_spec~0.Flow_Rate_High                                                     255   255   255 
Check_spec~0.Flow_Rate_Low                                                        0     0     0 
Check_spec~0.Flow_Rate_Not_Stable                                              true  true  true 
Check_spec~0.H_discovery~0.in                                                  true  true  true 
Check_spec~0.H_discovery~0.out                                                 true  true  true 
Check_spec~0.Humidity                                                         false false false 
Check_spec~0.In_Therapy                                                        true  true  true 
Check_spec~0.Infusion_Initiate                                                 true  true  true 
Check_spec~0.Logging_Failed                                                   false false false 
Check_spec~0.Low_Reservoir                                                        1     1     1 
Check_spec~0.Max_Duration_Over_Infusion                                           0     0     0 
Check_spec~0.Max_Duration_Under_Infusion                                          0     0     0 
Check_spec~0.Max_Idle_Duration                                                    2     2     2 
Check_spec~0.Max_Paused_Duration                                                  2     2     2 
Check_spec~0.Memory_Corrupted                                                 false false false 
Check_spec~0.Notification_Cancel                                               true  true  true 
Check_spec~0.Occlusion                                                         true  true  true 
Check_spec~0.Pump_Overheated                                                  false false false 
Check_spec~0.Pump_Too_Hot                                                     false false false 
Check_spec~0.RTC_In_Error                                                     false false false 
Check_spec~0.Reservoir_Empty                                                   true  true  true 
Check_spec~0.Reservoir_Volume                                                     0     0     0 
Check_spec~0.Supply_Voltage                                                   false false false 
Check_spec~0.System_Monitor_Failed                                            false false false 
Check_spec~0.System_On                                                         true  true  true 
Check_spec~0.T_node~0.Air_In_Line                                              true  true  true 
Check_spec~0.T_node~0.Air_Pressure                                            false false false 
Check_spec~0.T_node~0.Audio_Enable_Duration                                       0     0     0 
Check_spec~0.T_node~0.Audio_Level                                                 0     0     0 
Check_spec~0.T_node~0.Battery_Depleted                                        false false false 
Check_spec~0.T_node~0.Battery_Low                                             false false false 
Check_spec~0.T_node~0.Battery_Unable_To_Charge                                false false false 
Check_spec~0.T_node~0.CPU_In_Error                                            false false false 
Check_spec~0.T_node~0.Commanded_Flow_Rate                                         1     1     1 
Check_spec~0.T_node~0.Config_Timer                                                0     0     0 
Check_spec~0.T_node~0.Config_Warning_Duration                                     0     0     0 
Check_spec~0.T_node~0.Current_System_Mode                                         9     9     9 
Check_spec~0.T_node~0.Disable_Audio                                               0     0     0 
Check_spec~0.T_node~0.Door_Open                                                true  true  true 
Check_spec~0.T_node~0.Flow_Rate                                                   0     0     0 
Check_spec~0.T_node~0.Flow_Rate_High                                            255   255   255 
Check_spec~0.T_node~0.Flow_Rate_Low                                               0     0     0 
Check_spec~0.T_node~0.Flow_Rate_Not_Stable                                     true  true  true 
Check_spec~0.T_node~0.Humidity                                                false false false 
Check_spec~0.T_node~0.In_Therapy                                               true  true  true 
